unit,isced97,hlth_pb,age,sex,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	CH 	UK 	TR 
THS,TOTAL,PB1041,Y45-54,M,2011	652.416 	436.708 	611.443 	333.264 	4345.278 	63.535 	264.545 	646.473 	2733.293 	3067.654 	255.247 	3651.895 	47.806 	106.163 	186.01 	28.05 	501.523 	27.014 	1076.855 	468.942 	2076.077 	581.133 	1105.453 	121.389 	319.834 	268.08 	519.511 	17.401 	503.37 	3403.977 	3191.921 
THS,TOTAL,PB1041,Y45-54,T,2011	1270.386 	857.769 	1197.495 	634.115 	8592.403 	136.31 	529.99 	1287.058 	5450.829 	5835.993 	538.091 	7255.241 	96.948 	219.636 	384.748 	52.525 	1018.299 	53.332 	2068.884 	915.64 	4160.342 	1143.745 	2187.149 	231.969 	641.774 	516.295 	967.285 	32.376 	958.123 	6747.59 	5843.995 
THS,TOTAL,PB1041,Y55-64,F,2011	489.035 	388.673 	597.839 	259.909 	3204.862 	54.992 	201.858 	470.079 	1916.574 	2487.205 	247.288 	2738.264 	34.022 	77.74 	128.012 	16.445 	447.884 	24.736 	768.696 	274.798 	1745.347 	381.998 	895.808 	82.902 	261.569 	211.65 	394.962 	10.831 	304.926 	2404.273 	1345.391 
THS,TOTAL,PB1041,Y55-64,M,2011	478.238 	369.926 	547.002 	275.309 	2891.324 	42.437 	199.43 	483.717 	1818.416 	2407.631 	214.214 	2779.901 	37.14 	68.837 	107.21 	19.193 	395.866 	24.794 	834.723 	259.486 	1570.786 	409.008 	849.426 	84.389 	242.373 	229.869 	462.708 	12.348 	349.938 	2399.832 	1804.443 
THS,TOTAL,PB1041,Y55-64,T,2011	967.273 	758.599 	1144.84 	535.218 	6096.185 	97.43 	401.289 	953.796 	3734.991 	4894.836 	461.502 	5518.165 	71.163 	146.577 	235.222 	35.638 	843.751 	49.53 	1603.419 	534.284 	3316.133 	791.006 	1745.234 	167.291 	503.942 	441.519 	857.67 	23.18 	654.864 	4804.105 	3149.834 
THS,TOTAL,PB1070,TOTAL,F,2011	496.099 	214.709 	369.81 	354.878 	2402.835 	70.521 	103.595 	226.863 	1582.722 	2320.082 	157.54 	1414.526 	31.557 	97.723 	133.321 	28.449 	407.624 	16.143 	848.531 	445.526 	1462.37 	772.63 	987.97 	159.876 	240.859 	337.204 	513.717 	29.069 	463.844 	2730.953 	4735.359 
THS,TOTAL,PB1070,TOTAL,M,2011	422.471 	174.745 	328.633 	254.658 	2315.168 	58.383 	113.327 	208.997 	1110.678 	1870.006 	153.298 	1130.863 	28.215 	62.597 	109.823 	19.92 	349.342 	13.532 	594.771 	432.178 	1487.626 	537.81 	704.641 	156.17 	207.25 	282.503 	350.906 	20.403 	374.427 	2370.72 	3420.12 
THS,TOTAL,PB1070,TOTAL,T,2011	918.57 	389.454 	698.443 	609.536 	4718.003 	128.904 	216.922 	435.86 	2693.4 	4190.089 	310.837 	2545.388 	59.772 	160.319 	243.144 	48.369 	756.966 	29.675 	1443.302 	877.704 	2949.996 	1310.439 	1692.61 	316.046 	448.109 	619.707 	864.623 	49.471 	838.272 	5101.673 	8155.479 
THS,TOTAL,PB1070,Y15-24,F,2011	17.556 	: u	13.984 	27.112 	92.714 	2.984 u	5.718 	3.485 u	47.762 	196.595 	: u	44.763 	0.801 u	4.498 u	4.657 u	1.89 	9.442 	: u	57.617 	21.563 	57.142 	36.219 	18.339 	6.494 u	6.953 	24.943 	59.401 	5.73 	53.32 	221.015 	249.748 
THS,TOTAL,PB1070,Y15-24,M,2011	26.328 	: u	16.12 	23.093 	119.051 	4.509 u	7.705 	7.445 u	56.524 	102.044 	: u	48.266 	2.348 	4.111 u	7.081 u	1.563 	13.387 	: u	45.483 	20.854 	77.078 	30.477 	24.943 	6.523 u	8.765 	20.356 	41.068 	3.528 	47.707 	215.887 	270.584 
THS,TOTAL,PB1070,Y15-24,T,2011	43.884 	11.108 u	30.104 	50.206 	211.765 	7.493 	13.422 	10.93 	104.285 	298.64 	: u	93.03 	3.15 	8.609 	11.737 	3.453 	22.829 	1.681 u	103.1 	42.417 	134.22 	66.696 	43.282 	13.017 	15.718 	45.299 	100.469 	9.258 	101.027 	436.902 	520.332 
THS,TOTAL,PB1070,Y25-34,F,2011	56.114 	13.444 u	28.87 	47.954 	206.109 	3.81 u	14.608 	12.055 	147.929 	335.76 	5.468 u	100.364 	2.216 	8.104 	6.017 u	3.715 	21.197 	1.639 u	99.548 	36.64 	97.247 	77.696 	36.804 	14.453 	18.379 	40.433 	73.14 	4.923 	60.838 	311.478 	637.692 
THS,TOTAL,PB1070,Y25-34,M,2011	39.096 	14.74 	35.083 	36.839 	170.86 	6.217 	13.257 	19.6 	131.619 	272.826 	: u	107.175 	2.819 	4.868 u	9.271 	2.138 	19.502 	: u	59.426 	31.466 	134.929 	53.81 	44.565 	16.599 	20.072 	35.515 	50.328 	3.882 	60.34 	287.666 	554.146 
THS,TOTAL,PB1070,Y25-34,T,2011	95.21 	28.184 	63.952 	84.792 	376.969 	10.028 	27.864 	31.654 	279.549 	608.586 	9.493 u	207.538 	5.035 	12.972 	15.288 	5.854 	40.699 	3.123 u	158.974 	68.106 	232.176 	131.506 	81.369 	31.052 	38.45 	75.948 	123.468 	8.805 	121.178 	599.143 	1191.838 
THS,TOTAL,PB1070,Y35-44,F,2011	91.516 	20.437 	56.984 	67.341 	362.117 	8.389 	19.07 	26.687 	282.101 	472.47 	13.431 u	256.084 	4.381 	12.874 	20.479 	6.032 	40.948 	2.436 u	162.152 	67.688 	138.761 	119.247 	89.544 	24.469 	38.169 	50.468 	99.989 	5.437 	79.359 	525.493 	1028.018 
THS,TOTAL,PB1070,Y35-44,M,2011	70.09 	28.183 	45.455 	46.835 	381.438 	8.998 	19.458 	32.01 	207.4 	408.634 	22.91 u	235.576 	4.468 	11.586 	20.764 	3.671 	38.981 	1.876 u	102.342 	69.026 	155.764 	98.676 	72.129 	24.214 	28.89 	40.508 	66.904 	3.144 	60.047 	423.018 	785.407 
THS,TOTAL,PB1070,Y35-44,T,2011	161.606 	48.621 	102.438 	114.175 	743.555 	17.387 	38.529 	58.697 	489.501 	881.103 	36.341 u	491.66 	8.848 	24.46 	41.242 	9.702 	79.929 	4.312 	264.494 	136.713 	294.525 	217.923 	161.673 	48.682 	67.059 	90.977 	166.893 	8.581 	139.406 	948.512 	1813.425 
THS,TOTAL,PB1070,Y45-54,F,2011	157.875 	45.386 	106.406 	98.759 	711.311 	20.537 	28.866 	58.875 	465.987 	695.841 	49.939 	432.731 	9.367 	27.766 	42.074 	8.964 	115.397 	4.111 	238.798 	137.139 	385.92 	209.311 	257.526 	46.564 	64.422 	81.285 	130.628 	6.192 	135.407 	805.951 	1414.537 
THS,TOTAL,PB1070,Y45-54,M,2011	114.388 	35.152 	80.828 	63.251 	677.984 	15.865 	27.468 	50.167 	313.631 	578.121 	46.884 	294.297 	7.677 	17.901 	30.779 	6.338 	96.537 	3.027 u	153.467 	122.285 	391.005 	139.137 	153.524 	41.52 	59.982 	67.306 	88.049 	5.242 	100.988 	591.665 	915.641 
THS,TOTAL,PB1070,Y45-54,T,2011	272.263 	80.538 	187.234 	162.011 	1389.295 	36.402 	56.334 	109.041 	779.618 	1273.962 	96.822 	727.028 	17.044 	45.666 	72.853 	15.301 	211.933 	7.138 	392.265 	259.424 	776.925 	348.448 	411.05 	88.085 	124.404 	148.591 	218.678 	11.434 	236.395 	1397.616 	2330.178 
THS,TOTAL,PB1070,Y55-64,F,2011	173.038 	129.342 	163.566 	113.712 	1030.584 	34.8 	35.334 	125.762 	638.943 	619.417 	87.906 	580.584 	14.792 	44.481 	60.095 	7.848 	220.639 	7.177 	290.416 	182.496 	783.3 	330.158 	585.756 	67.896 	112.937 	140.075 	150.559 	6.787 	134.92 	867.016 	1405.364 
THS,TOTAL,PB1070,Y55-64,M,2011	172.569 	91.661 	151.149 	84.64 	965.835 	22.794 	45.44 	99.775 	401.504 	508.381 	76.206 	445.548 	10.903 	24.132 	41.928 	6.211 	180.936 	6.244 	234.052 	188.547 	728.849 	215.71 	409.48 	67.314 	89.541 	118.817 	104.557 	4.608 	105.345 	852.485 	894.342 
THS,TOTAL,PB1070,Y55-64,T,2011	345.607 	221.003 	314.715 	198.352 	1996.419 	57.594 	80.774 	225.537 	1040.447 	1127.798 	164.113 	1026.132 	25.696 	68.612 	102.024 	14.059 	401.575 	13.421 	524.469 	371.044 	1512.149 	545.867 	995.236 	135.21 	202.478 	258.892 	255.115 	11.394 	240.265 	1719.501 	2299.706 
THS,TOTAL,PB1071,TOTAL,F,2011	2953.778 	2210.381 	3207.466 	1434.409 	17238.59 	397.67 	1420.363 	3007.38 	12645.234 	16340.727 	1233.291 	16765.497 	266.557 	621.17 	923.872 	138.838 	2975.46 	125.847 	4606.025 	2391.35 	11483.507 	2799.77 	6388.043 	531.731 	1683.034 	1358.512 	2450.03 	67.972 	2140.309 	17125.831 	19553.944 
THS,TOTAL,PB1071,TOTAL,M,2011	3077.988 	2263.807 	3322.585 	1558.456 	17164.931 	374.618 	1398.81 	3051.149 	13131.239 	16387.585 	1186.906 	16896.271 	243.341 	599.265 	873.385 	152.245 	2933.755 	133.621 	4901.695 	2381.24 	11390.565 	2973.444 	6541.426 	574.746 	1724.712 	1421.623 	2734.088 	78.165 	2269.668 	17314.996 	20591.448 
THS,TOTAL,PB1071,TOTAL,T,2011	6031.766 	4474.188 	6530.05 	2992.865 	34403.521 	772.287 	2819.173 	6058.529 	25776.473 	32728.312 	2420.197 	33661.768 	509.898 	1220.435 	1797.257 	291.082 	5909.215 	259.468 	9507.721 	4772.591 	22874.072 	5773.214 	12929.469 	1106.476 	3407.746 	2780.135 	5184.118 	146.137 	4409.977 	34440.827 	40145.392 
THS,TOTAL,PB1071,Y15-24,F,2011	603.402 	397.857 	587.554 	308.134 	3523.452 	84.262 	280.287 	486.192 	1912.337 	3418.195 	233.997 	2639.985 	54.377 	130.199 	205.185 	27.242 	578.167 	26.868 	929.759 	475.108 	2308.82 	523.742 	1359.925 	102.176 	358.877 	283.028 	540.507 	13.912 	395.074 	3248.018 	5637.537 
THS,TOTAL,PB1071,Y15-24,M,2011	613.686 	425.689 	613.712 	326.459 	3592.847 	84.97 	281.762 	482.312 	1972.549 	3368.577 	254.961 	2740.84 	47.037 	135.107 	212.776 	28.348 	583.069 	28.958 	971.851 	476.066 	2417.335 	554.013 	1393.757 	115.087 	373.54 	281.712 	595.548 	16.773 	417.912 	3365.885 	5362.609 
THS,TOTAL,PB1071,Y15-24,T,2011	1217.088 	823.546 	1201.267 	634.594 	7116.299 	169.232 	562.048 	968.505 	3884.886 	6786.772 	488.958 	5380.825 	101.414 	265.306 	417.961 	55.59 	1161.236 	55.826 	1901.609 	951.175 	4726.156 	1077.755 	2753.682 	217.263 	732.417 	564.74 	1136.055 	30.685 	812.985 	6613.902 	11000.146 
THS,TOTAL,PB1071,Y25-34,F,2011	618.203 	469.621 	741.514 	274.472 	3367.164 	93.456 	368.507 	659.41 	3069.17 	3377.684 	203.256 	3342.286 	71.147 	130.765 	182.148 	31.72 	684.428 	28.414 	892.498 	505.259 	2723.579 	680.178 	1567.093 	134.266 	417.225 	286.147 	494.125 	15.68 	454.386 	3765.608 	5570.369 
THS,TOTAL,PB1071,Y25-34,M,2011	644.489 	495.194 	783.32 	288.035 	3452.951 	92.634 	351.983 	688.723 	3214.274 	3414.885 	224.784 	3330.638 	64.791 	135.14 	180.992 	33.481 	718.954 	30.925 	925.174 	511.689 	2812.668 	725.034 	1593.212 	143.301 	438.734 	306.597 	547.978 	17.359 	462.813 	3875.553 	5695.955 
THS,TOTAL,PB1071,Y25-34,T,2011	1262.692 	964.815 	1524.834 	562.507 	6820.115 	186.09 	720.49 	1348.134 	6283.444 	6792.569 	428.04 	6672.924 	135.938 	265.905 	363.141 	65.201 	1403.382 	59.339 	1817.671 	1016.948 	5536.247 	1405.212 	3160.305 	277.566 	855.96 	592.744 	1042.103 	33.039 	917.199 	7641.161 	11266.324 
THS,TOTAL,PB1071,Y35-44,F,2011	627.714 	480.907 	723.645 	321.325 	3744.741 	83.816 	322.671 	737.347 	3257.044 	3461.372 	217.601 	4209.875 	59.809 	131.283 	197.189 	33.976 	683.835 	23.416 	1014.045 	563.541 	2268.279 	690.008 	1586.919 	113.457 	343.243 	264.896 	524.195 	14.522 	507.554 	3773.377 	4159.949 
THS,TOTAL,PB1071,Y35-44,M,2011	670.867 	498.329 	779.359 	350.634 	3678.58 	79.564 	325.225 	758.933 	3476.325 	3626.456 	191.653 	4234.522 	49.372 	125.1 	182.479 	36.825 	684.742 	24.873 	1077.988 	559.458 	2305.816 	709.266 	1632.201 	125.686 	364.709 	286.738 	580.406 	17.099 	519.115 	3791.216 	4442.305 
THS,TOTAL,PB1071,Y35-44,T,2011	1298.581 	979.236 	1503.004 	671.959 	7423.321 	163.38 	647.896 	1496.28 	6733.369 	7087.829 	409.255 	8444.397 	109.181 	256.383 	379.668 	70.801 	1368.577 	48.289 	2092.033 	1122.999 	4574.095 	1399.274 	3219.12 	239.143 	707.952 	551.634 	1104.6 	31.621 	1026.669 	7564.594 	8602.254 
