unit,isced97,hlth_pb,age,sex,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	CH 	UK 	TR 
THS,TOTAL,TOTAL,Y15-24,M,2011	640.014 	430.697 	629.996 	350.113 	4116.381 	89.566 	290.192 	490.061 	2041.263 	3542.047 	258.234 	2834.878 	49.385 	139.218 	219.856 	30.177 	596.673 	29.859 	1019.441 	496.92 	2494.414 	585.725 	1418.701 	121.61 	382.887 	302.898 	640.927 	20.509 	471.422 	3595.77 	5633.193 
THS,TOTAL,TOTAL,Y15-24,T,2011	1260.972 	834.655 	1231.535 	686.072 	8132.837 	176.956 	576.505 	979.894 	4018.814 	7253.035 	493.027 	5562.034 	104.564 	273.915 	429.698 	59.741 	1184.671 	57.507 	2009.806 	993.592 	4860.376 	1145.885 	2796.964 	230.28 	749.747 	611.166 	1248.386 	40.412 	924.226 	7073.809 	11520.477 
THS,TOTAL,TOTAL,Y25-34,F,2011	674.318 	483.065 	771.187 	324.086 	4118.176 	97.45 	384.466 	671.925 	3244.53 	3807.725 	208.723 	3476.79 	73.363 	138.972 	188.165 	35.952 	706.288 	30.053 	992.736 	541.9 	2820.826 	757.97 	1603.897 	148.719 	436.626 	327.036 	571.461 	20.855 	519.489 	4094.511 	6208.061 
THS,TOTAL,TOTAL,Y25-34,M,2011	683.584 	509.934 	818.403 	326.141 	4187.569 	99.581 	367.235 	708.323 	3380.756 	3797.997 	228.809 	3482.983 	67.61 	140.008 	190.263 	36.211 	739.333 	32.409 	986.738 	543.155 	2947.598 	778.844 	1637.777 	159.9 	459.868 	342.302 	600.283 	21.548 	528.956 	4172.676 	6250.101 
THS,TOTAL,TOTAL,Y25-34,T,2011	1357.902 	992.999 	1589.59 	650.227 	8305.745 	197.031 	751.701 	1380.248 	6625.285 	7605.723 	437.532 	6959.773 	140.973 	278.98 	378.428 	72.163 	1445.621 	62.462 	1979.474 	1085.054 	5768.424 	1536.814 	3241.674 	308.619 	896.494 	669.339 	1171.744 	42.403 	1048.445 	8267.187 	12458.162 
THS,TOTAL,TOTAL,Y35-44,F,2011	719.543 	501.344 	781.256 	388.665 	4736.641 	92.205 	342.83 	765.32 	3581.186 	4157.255 	231.032 	4518.519 	64.19 	144.157 	217.667 	40.539 	725.705 	25.852 	1178.375 	631.229 	2407.04 	809.669 	1676.463 	137.925 	381.861 	316.663 	630.007 	20.317 	595.972 	4315.957 	5187.967 
THS,TOTAL,TOTAL,Y35-44,M,2011	740.958 	526.513 	825.467 	398.836 	4774.06 	88.562 	345.71 	791.61 	3737.906 	4169.375 	214.563 	4531.981 	53.839 	136.686 	203.243 	41.015 	724.978 	26.749 	1181.732 	628.484 	2461.58 	808.5 	1704.33 	149.9 	393.794 	327.539 	650.492 	20.662 	585.609 	4236.005 	5227.712 
THS,TOTAL,TOTAL,Y35-44,T,2011	1460.5 	1027.856 	1606.722 	787.502 	9510.701 	180.767 	688.541 	1556.931 	7319.093 	8326.631 	445.595 	9050.501 	118.029 	280.843 	420.91 	81.554 	1450.683 	52.601 	2360.107 	1259.713 	4868.62 	1618.169 	3380.793 	287.825 	775.656 	644.203 	1280.499 	40.979 	1181.581 	8551.962 	10415.679 
THS,TOTAL,TOTAL,Y45-54,F,2011	771.048 	489.1 	671.855 	389.886 	5499.025 	98.235 	288.071 	709.3 	3163.699 	4235.87 	349.069 	4198.814 	57.927 	159.177 	244.7 	37.435 	650.509 	28.658 	1233.175 	661.087 	2604.357 	774.256 	1323.634 	154.169 	381.799 	362.617 	609.053 	20.922 	599.866 	4383.606 	4155.186 
THS,TOTAL,TOTAL,Y45-54,M,2011	782.706 	490.144 	687.289 	393.164 	5570.249 	85.761 	285.902 	699.745 	3128.964 	4166.981 	317.912 	4092.842 	54.39 	139.598 	218.236 	39.266 	614.825 	29.096 	1244.574 	665.81 	2539.248 	736.123 	1266.374 	160.19 	376.753 	364.033 	625.776 	21.155 	617.232 	4237.586 	4173.643 
THS,TOTAL,TOTAL,Y45-54,T,2011	1553.754 	979.244 	1359.145 	783.05 	11069.274 	183.996 	573.973 	1409.045 	6292.662 	8402.851 	666.981 	8291.655 	112.317 	298.775 	462.936 	76.701 	1265.335 	57.754 	2477.749 	1326.897 	5143.605 	1510.379 	2590.009 	314.359 	758.552 	726.65 	1234.83 	42.077 	1217.097 	8621.191 	8328.829 
THS,TOTAL,TOTAL,Y55-64,F,2011	664.323 	547.624 	754.553 	356.786 	4731.727 	93.691 	227.869 	605.198 	2549.211 	4222.278 	367.213 	3516.187 	47.456 	142.832 	196.819 	26.961 	727.588 	29.779 	1080.602 	505.99 	2747.691 	676.919 	1393.755 	142.125 	361.598 	386.123 	586.972 	16.741 	476.206 	3692.46 	2850.805 
THS,TOTAL,TOTAL,Y55-64,M,2011	653.198 	481.263 	692.785 	350.534 	4460.393 	70.511 	229.379 	576.167 	2299.256 	3753.712 	320.686 	3357.584 	46.332 	106.352 	151.61 	28.144 	618.609 	29.04 	1082.871 	479.049 	2435.352 	608.649 	1218.884 	139.315 	322.894 	372.139 	588.313 	16.776 	470.245 	3533.873 	2726.918 
THS,TOTAL,TOTAL,Y55-64,T,2011	1317.521 	1028.887 	1447.338 	707.321 	9192.12 	164.202 	457.248 	1181.365 	4848.467 	7975.99 	687.899 	6873.771 	93.788 	249.184 	348.429 	55.105 	1346.197 	58.819 	2163.473 	985.039 	5183.043 	1285.568 	2612.639 	281.439 	684.492 	758.262 	1175.286 	33.516 	946.451 	7226.333 	5577.723 
